step_n,E_lj,E_elec,E_total
100,-3.8629364836518256,-2697.760167306649,-2701.623103790301
200,-3.9888832594398282,-2739.0113208831353,-2743.000204142575
300,-2.326405147585712,-2782.285342814702,-2784.6117479622876
400,-2.335405258067466,-2821.2301496287832,-2823.565554886851
500,-2.5076328877858893,-2836.922640572649,-2839.430273460435
600,-2.7137452662818946,-2851.7672483042447,-2854.4809935705266
700,-2.9638335641466695,-2879.3705626713163,-2882.334396235463
800,-3.456161722058999,-2922.260916203841,-2925.7170779259
900,-3.3376686907382824,-2966.7161672339976,-2970.0538359247357
1000,-3.4636979968034605,-3013.749278457746,-3017.21297645455
1100,0.594501736301883,-3059.235306090675,-3058.640804354373
1200,-0.04119184811798607,-3077.6392939028333,-3077.6804857509514
1300,-0.13834924540626142,-3122.880383608386,-3123.0187328537922
1400,-0.49540237209184856,-3159.4260755203263,-3159.9214778924184
1500,-0.8849920106835797,-3230.7873765802083,-3231.672368590892
1600,-1.9019070077738855,-3250.7223035535226,-3252.6242105612964
1700,-2.0009257750370515,-3262.90315873676,-3264.904084511797
1800,-0.06282266290118309,-3307.592506245951,-3307.655328908852
1900,2.1452665351476004,-3376.9148982990496,-3374.769631763902
2000,11.73372975848482,-3409.006722434479,-3397.272992675994
2100,7.106539699988954,-3432.0114155732863,-3424.9048758732974
2200,7.3472698859408325,-3448.8548222919176,-3441.5075524059766
2300,7.905449068362858,-3476.5700583120065,-3468.6646092436436
2400,7.755696736387823,-3517.825117901728,-3510.06942116534
2500,4.105669261652092,-3636.197653345064,-3632.0919840834117
2600,5.08124318806473,-3646.029991648485,-3640.94874846042
2700,4.356615669578228,-3678.146083164651,-3673.7894674950726
2800,6.20674390346306,-3719.0599744210654,-3712.8532305176022
2900,2.9413341693655752,-3759.8179502106846,-3756.876616041319
3000,-0.22922642223520184,-3778.14122177058,-3778.3704481928153
3100,2.2558854771114154,-3796.5362931392733,-3794.280407662162
3200,2.8223207876101872,-3822.968782899972,-3820.146462112362
3300,5.5214849932841155,-3851.0745666972266,-3845.5530817039426
3400,2.6962653812713997,-3902.5124607653756,-3899.816195384104
3500,2.3516908409556914,-3926.183929668983,-3923.8322388280276
3600,0.330043806451657,-3947.7274595124018,-3947.39741570595
3700,-0.46963492979840005,-3961.3161084202325,-3961.7857433500308
3800,-0.8413466297944311,-3982.168981623415,-3983.0103282532095
3900,-1.0539560551527074,-4009.126315934596,-4010.1802719897487
4000,-1.0929752364760241,-4048.979122209467,-4050.0720974459427
4100,-3.9868174959393827,-4090.9343096429675,-4094.9211271389067
4200,-3.972121766316076,-4124.599427313316,-4128.571549079632
4300,-3.565820610007608,-4139.8051336564295,-4143.370954266437
4400,-3.374194715529853,-4148.844450628469,-4152.218645343998
4500,-4.243454852663376,-4235.575900816333,-4239.819355668997
4600,-4.225679705789529,-4245.0688214029415,-4249.294501108731
4700,-4.09473210481525,-4272.282025628821,-4276.376757733637
4800,-1.971628960914527,-4284.743604045082,-4286.715233005996
4900,-1.120034292453041,-4293.946705966672,-4295.066740259125
5000,-1.519708966184976,-4322.249735278261,-4323.769444244446
5100,-3.8462160219994503,-4344.4613205833375,-4348.307536605337
5200,-3.7645992336118947,-4390.443327476931,-4394.207926710543
5300,-2.1135327025334405,-4428.617518071636,-4430.7310507741695
5400,-1.9216747605431799,-4451.741103587913,-4453.662778348456
5500,-3.3533161197820087,-4463.885039932493,-4467.238356052275
5600,-5.03118704186531,-4473.197578139191,-4478.228765181057
