step_n,dE_pme,dE_pdmk,E_pme
100,-0.28570079715138874,-0.28635032876788463,-381.89261271091596
200,-2.900865194504313,-2.9019001043036607,-402.40725800633146
300,-0.35017239677492185,-0.349656506089673,-437.2520803031619
400,-0.03996431156808043,-0.042248838061891024,-449.60832692473963
500,-1.2983266817085308,-1.300331332392012,-467.9366258897598
600,-0.3189552055039988,-0.31948482329439704,-484.85729131960903
700,-3.845183142053782,-3.845913250586716,-519.0868627841091
800,-0.001610713065135446,-0.0017955361634264839,-537.1480587408925
900,-0.18283297894354922,-0.18145916224438002,-550.1221587104793
1000,-2.309534518543332,-2.3123635916408616,-558.8586927426367
1100,1.1113693749302413,1.1106241261189491,-578.8118510953528
1200,-2.002436149112607,-2.0047980594389285,-592.5544005796745
1300,0.07501294158093096,0.07640196556093681,-619.3023098216196
1400,-0.9008723363406494,-0.905874617363373,-624.4436235295726
1500,1.342051190718556,1.3416732525229176,-624.1833767715636
1600,1.1682563749914106,1.1674920460461788,-637.5592828850935
1700,-0.018976228257056405,-0.02035620892169015,-660.6689365228501
1800,-0.6044694700992127,-0.6045484755019466,-694.6641642893458
1900,-0.23134100541249616,-0.23342119419045546,-722.5357872064623
2000,0.5033185665956839,0.504978185324988,-738.5712137908205
2100,3.057891103770854,3.0574014975139425,-740.2415106960624
2200,-0.2619735668612358,-0.2625444298747422,-757.6039623607868
2300,-1.248959547818103,-1.2481459187408184,-790.2378772218901
2400,0.0029045768199047503,0.004025595348671241,-812.0529716583553
2500,0.007877787651330787,0.00757836649531087,-833.6573220285345
2600,1.0767192991158807,1.0785289880242452,-839.9545263169531
2700,0.4622617248536983,0.46265236255170383,-856.5730639098035
2800,-0.19634473751790052,-0.1955909761218978,-880.0069959579291
2900,-0.5539106927366231,-0.5552649479982799,-905.2802246917224
3000,2.249439810234414,2.2525215768577835,-914.1624092012573
3100,3.2269467417916156,3.228392776494918,-919.773437968007
3200,0.003929057434583815,-0.01677205280992514,-917.1037260154558
3300,0.9429178826541165,0.9426339729342884,-931.0594356746037
3400,3.374314386654515,3.372633040414832,-935.8616672354854
3500,0.8261897076340188,0.8265020385255114,-945.3418287233367
3600,0.6332809068963908,0.6316771755866176,-952.0350675981167
3700,-0.10581515933739054,-0.10118722167878681,-969.5886583727181
3800,1.9878461810597505,1.9920845977255086,-967.6686615082745
3900,-0.29410762150416647,-0.2934185495570243,-984.6066923768749
4000,0.005513054547732715,0.015868392105087725,-1002.8390087645122
4100,0.12096551204759962,0.1189824771551167,-1015.9522024664994
4200,-0.12821829451234343,-0.1271322598127015,-1021.4190257388284
4300,1.0515192369286819,1.0505128842115576,-1026.5002295658933
4400,0.1673275084300468,0.17077585242819446,-1034.4140106464613
4500,0.3547675623149461,0.35421811411697296,-1032.604889927697
4600,-0.19843318738508522,-0.2006449762650485,-1053.683784702287
4700,-1.6821199141233107,-1.685194850991668,-1055.4889001126376
4800,-0.14005900919756734,-0.14017165869197015,-1067.12772762488
4900,0.5127782736293539,0.5136527010643654,-1092.7181329528044
5000,-0.3844400717762484,-0.38367046136758587,-1085.8432426809036
5100,-1.3441504915363702,-1.3439503989589447,-1088.3006831153762
5200,1.6671841653606112,1.6696542867106705,-1101.6488715292305
5300,-1.2537227556457469,-1.2542552251784163,-1112.718289838053
5400,-1.5146162255518216,-1.5154320178667793,-1112.5188492533734
5500,-4.2280867151084625,-4.229577416072749,-1115.5119627961442
5600,0.24637474479565924,0.2448800384504362,-1125.9037123165187
5700,0.0563464412446167,0.062298824772082886,-1142.3973612173156
5800,0.12007097055801047,0.12229041299227872,-1147.2063854318833
5900,-2.472870472374454,-2.4722145469280257,-1150.9132187322714
6000,-0.308765480540028,-0.30908322098665286,-1163.1255943109886
