step_n,E_lj,E_elec,E_total
100,1.0583524608992794,-381.6304659276149,-380.5721134667156
200,8.415272143819685,-402.1103908562909,-393.69511871247124
300,8.384559417068873,-436.94056428284546,-428.5560048657766
400,8.86423538017892,-449.2307917358762,-440.3665563556973
500,11.557885024346207,-467.54483501610196,-455.98694999175575
600,6.392124103986493,-484.4286982731423,-478.0365741691558
700,7.235193230208772,-518.6373612919745,-511.4021680617657
800,6.8547119914447645,-536.6609754938229,-529.8062635023781
900,8.466701410379766,-549.6031921138479,-541.1364907034681
1000,2.856101904181838,-558.3257565831638,-555.4696546789819
1100,1.6936910806647834,-578.2665042087906,-576.5728131281259
1200,7.327125788979481,-591.9535379707704,-584.6264121817909
1300,7.540610994769075,-618.6881540580084,-611.1475430632394
1400,7.859118961264644,-623.7990611771153,-615.9399422158506
1500,10.362717580467223,-624.8777706518027,-614.5150530713355
1600,9.737494144515557,-636.8117777312444,-627.0742835867288
1700,9.670393475802141,-659.8601061041157,-650.1897126283136
1800,10.766535199289853,-693.8380984865745,-683.0715632872847
1900,9.483770679599388,-721.5342429553133,-712.0504722757139
2000,9.725362741711507,-737.5326680356817,-727.8073052939702
2100,9.438362614073066,-742.217121382122,-732.7787587680489
2200,8.947487922204928,-756.4919599082785,-747.5444719860736
2300,8.360113054299905,-789.0872388267439,-780.7271257724441
2400,9.157747047314968,-810.9144130073994,-801.7566659600844
2500,0.10713836917580463,-832.5008342027296,-832.3936958335538
2600,-0.11442219403682513,-839.8484979169275,-839.9629201109643
2700,-0.35151811091063073,-855.3701535785867,-855.7216716894974
2800,-4.4018444312284135,-878.7589322892265,-883.1607767204549
2900,-2.3158105340844823,-904.0022260431119,-906.3180365771964
3000,-0.02132291070712361,-912.8459169162131,-912.8672398269202
3100,2.808300936193202,-921.679143470044,-918.8708425338508
3200,2.934643008023367,-915.805745382506,-912.8711023744826
3300,1.8246664268457102,-929.7484759355406,-927.9238095086948
3400,5.604721434620722,-937.9305157377684,-932.3257943031476
3500,5.719644881960808,-944.8359325617758,-939.1162876798151
3600,8.544580294407403,-950.6312970954352,-942.0867168010278
3700,8.061230956977482,-968.1502075090477,-960.0889765520702
3800,6.425726251419586,-968.2717359512195,-961.8460096997999
3900,5.062821765804172,-983.1375346461467,-978.0747128803425
4000,5.755657301392071,-1001.3180969610221,-995.5624396596301
4100,1.5078572506261292,-1014.3935877316634,-1012.8857304810373
4200,-0.10416762831811835,-1019.8269728037326,-1019.9311404320507
4300,5.293217684685079,-1024.6663505273484,-1019.3731328426634
4400,5.600066538050683,-1032.5281047175956,-1026.928038179545
4500,0.5404099726556062,-1031.0625827293218,-1030.5221727566661
4600,-1.1109339934930416,-1051.7265515475835,-1052.8374855410766
4700,6.21434273500435,-1053.516298435044,-1047.3019557000398
4800,-7.767562402695121,-1065.051033369602,-1072.8185957722972
4900,-7.552351401617875,-1090.619465328116,-1098.1718167297338
5000,-7.613153244369317,-1085.6382343593384,-1093.2513876037078
5100,-9.463732829970168,-1088.1314286704878,-1097.595161500458
5200,-4.498947340929418,-1101.4710521501427,-1105.969999491072
5300,-7.209265353995129,-1112.5116160980367,-1119.7208814520318
5400,-8.070418782576327,-1112.2534987046654,-1120.3239174872417
5500,-7.899222261153888,-1110.9975234611602,-1118.896745722314
5600,-2.606615574561838,-1125.5432020438584,-1128.1498176184202
5700,1.5449707715912098,-1142.0395317325265,-1140.4945609609354
5800,-1.062895913481448,-1146.706446523149,-1147.7693424366305
5900,0.3407430398001211,-1150.2769953827105,-1149.9362523429104
6000,0.5572321281991119,-1162.46394594038,-1161.906713812181
6100,0.614919492614744,-1174.9977411441503,-1174.3828216515356
6200,0.14220960423225043,-1190.7529617404928,-1190.6107521362605
6300,0.43103848138083994,-1199.816366394797,-1199.385327913416
6400,0.6226954289645616,-1206.8255773565415,-1206.202881927577
6500,-0.4575827480649764,-1214.0555685824772,-1214.5131513305423
6600,-0.8521139911324123,-1229.5298682981047,-1230.3819822892372
6700,-0.43042804085255854,-1230.1936565595477,-1230.6240846004002
6800,2.806433135617288,-1225.9908989861838,-1223.1844658505665
6900,7.507453505948822,-1231.007780747759,-1223.50032724181
7000,6.786083597653848,-1233.6880512701825,-1226.9019676725286
7100,10.043312388699547,-1262.9150953658664,-1252.8717829771667
7200,1.0908909969098155,-1276.6555002461137,-1275.5646092492038
7300,-5.705036298438101,-1284.8873874550475,-1290.5924237534855
7400,-5.640357449522813,-1301.9398247532672,-1307.58018220279
7500,-6.423086237599646,-1304.964010822993,-1311.3870970605926
7600,-5.092230989753449,-1311.977137318827,-1317.0693683085806
7700,-6.86604920285273,-1319.6237002207388,-1326.4897494235915
7800,-6.825472991245726,-1322.3744655979801,-1329.199938589226
7900,5.012284776163115,-1336.5647629851414,-1331.5524782089783
8000,7.1258070874543895,-1350.954880531298,-1343.8290734438435
8100,7.500732711287501,-1344.5313179419227,-1337.030585230635
8200,9.416095980837289,-1361.7799978459836,-1352.3639018651463
8300,8.658822171896366,-1365.3768462453108,-1356.7180240734144
8400,14.947874545739277,-1388.6882671476092,-1373.7403926018699
8500,11.405650797665043,-1374.3248111093244,-1362.9191603116594
8600,12.93812292874112,-1400.3374388574757,-1387.3993159287345
8700,16.39036691441463,-1398.6854100685916,-1382.295043154177
8800,17.514462913219454,-1405.4262904042675,-1387.9118274910481
8900,14.293316356104267,-1393.354306104053,-1379.0609897479487
9000,9.256065052531321,-1389.288734510092,-1380.0326694575606
9100,6.868725005702541,-1387.3790207262218,-1380.5102957205193
9200,5.5035978847868785,-1386.9487075128602,-1381.4451096280734
9300,6.396115445037129,-1408.6870251666996,-1402.2909097216625
9400,8.40571071091124,-1416.5533700369108,-1408.1476593259995
9500,0.6684658480723276,-1417.7608650467546,-1417.0923991986822
9600,-3.0980299184642126,-1443.0436902992378,-1446.141720217702
9700,2.267758681425214,-1472.9586282106302,-1470.690869529205
9800,2.910190410837787,-1474.2534539369701,-1471.3432635261324
9900,11.322142839502954,-1477.0916428651087,-1465.7695000256058
10000,12.552841442884283,-1498.8854209812678,-1486.3325795383835
10100,5.763530529556483,-1499.8831795962485,-1494.119649066692
10200,8.365768606285197,-1510.6481295344586,-1502.2823609281734
10300,8.79303788646129,-1511.8380471901755,-1503.0450093037143
10400,7.41365468918626,-1515.4853759299167,-1508.0717212407305
10500,6.630803902259155,-1527.5145734801154,-1520.8837695778561
10600,10.34571420972725,-1534.9153498414714,-1524.5696356317442
10700,8.524863080326092,-1543.5700409537028,-1535.0451778733768
10800,13.045290417545647,-1549.7653602000382,-1536.7200697824926
10900,11.124440358884103,-1538.592926953234,-1527.4684865943498
11000,21.6351178268346,-1553.5375714839297,-1531.902453657095
11100,16.408594182409452,-1532.263307179934,-1515.8547129975245
11200,15.054772641252097,-1531.0089254467796,-1515.9541528055274
11300,15.733093135862369,-1535.6825262594818,-1519.9494331236194
11400,10.09535267712103,-1538.8493952453164,-1528.7540425681952
11500,7.925983492783246,-1531.6218375479639,-1523.6958540551807
11600,12.018475263082335,-1528.5866488983577,-1516.5681736352753
11700,12.01659501253376,-1544.6439039022287,-1532.6273088896949
11800,7.870542810401799,-1540.370079453503,-1532.4995366431012
11900,11.402386996010032,-1544.1470053781452,-1532.744618382135
12000,11.353987908758182,-1533.0949259235554,-1521.7409380147972
12100,8.314821677005812,-1536.8117883933073,-1528.4969667163016
12200,3.881914478372901,-1536.6675109826047,-1532.7855965042318
12300,3.1162849360760734,-1549.6537346293967,-1546.5374496933207
12400,2.8162589219862775,-1556.385090258507,-1553.5688313365208
12500,0.5256435303251056,-1559.368471294591,-1558.8428277642658
12600,1.4644272210673404,-1565.010155501521,-1563.5457282804537
12700,2.086753689506837,-1554.3788901940409,-1552.292136504534
12800,4.3275440793432915,-1559.208593878366,-1554.8810497990225
12900,5.360125496967176,-1567.6659233579237,-1562.3057978609565
13000,2.900635693538997,-1567.0388901751357,-1564.1382544815967
13100,-1.4774853205111,-1565.7939403014773,-1567.2714256219883
13200,-0.0739527321453102,-1567.8149386519997,-1567.888891384145
13300,-0.7158196097118947,-1575.176729296996,-1575.8925489067078
